2026 AUDIT: In progress...,,,,
REGION/CONTINENT,TOTAL ACTIVE CREWS,TOTAL INACTIVE CREWS,TOTAL CREW MEMBERS (including Leads for active Crews),TOTAL COUNTRIES (active Crews only)
North America,13,5,146,3
IYI Crews,6,,8,
South America,7,1,55,4
Europe,8,1,87,5
"Africa, English Crews",41,,406,14
"Africa, French Crews",39,17,376,11
East Asia,4,2,42,3
South Asia,13,,121,7
Oceania,0,0,0,0
OVERALL TOTAL,131,26,1241,47
,,,,
AUDIT COMPLETED:  1/31/2026,,,,
REGION/CONTINENT,TOTAL ACTIVE CREWS,TOTAL INACTIVE CREWS,TOTAL CREW MEMBERS (including Leads for active Crews),TOTAL COUNTRIES (active Crews only)
North America,13,5,146,3
IYI Crews,5,,7,
South America,7,1,55,4
Europe,7,1,85,4
Africa,79,18,769,25
South Asia,13,,121,7
East Asia,3,2,38,2
Oceania,0,0,0,0
OVERALL TOTAL,127,27,1221,45
,,,,
AUDIT COMPLETED:  1/31/2025,,,,
REGION/CONTINENT,TOTAL ACTIVE CREWS,TOTAL INACTIVE CREWS,TOTAL CREW MEMBERS (including Leads for active Crews),TOTAL COUNTRIES (active Crews only)
North America,12,5,79,3
South America,5,1,40,2
Europe,5,1,80,2
Africa,68,18,681,20
Asia,10,2,120,4
Oceania,0,0,0,0
OVERALL TOTAL,100,27,1000,31
,,,,
AUDIT COMPLETED:  1/31/2024,,,,
REGION/CONTINENT,TOTAL ACTIVE CREWS,TOTAL INACTIVE CREWS,TOTAL CREW MEMBERS (including Leads for active Crews),TOTAL COUNTRIES (active Crews only)
North America,12,5,79,3
South America,3,1,35,1
Europe,4,1,63,2
Africa,28,18,257,14
Asia,6,2,87,4
Oceania,0,0,0,0
OVERALL TOTAL,53,27,521,24
,,,,
2023 AUDIT COMPLETED,,1/1/2023,,
REGION/CONTINENT,TOTAL CREWS,TOTAL CREW MEMBERS (including Leads),,
North America,12,91,,
South America,5,40,,
Europe,4,59,,
Africa,22,265,,
Asia,7,86,,
Oceania,0,0,,
OVERALL TOTAL,50,541,,
,48,456,,
AUDIT COMPLETED: ,,12/7/2022,,
REGION/CONTINENT,TOTAL CREWS,TOTAL CREW MEMBERS (including Leads),,
North America,10,203,,
South America,4,39,,
Europe,2,22,,
Africa,38,237,,
Asia,6,65,,
Oceania,0,0,,
OVERALL TOTAL,60,566,,
