id,title,grant_type,grant_types,highlights,priority_score,funder,source,url,description,deadline,urgency,deadline_days,amount_max,amount_min,currency,amount_usd,country,region,categories,language,relevance,status,fetched_at
afe0f4c0f994,Global Greengrants Fund — Grassroots Environmental Grants,climate_justice,"['climate_justice', 'conservation', 'indigenous_rights']","['EG_CORE', 'CLIMATE', 'INDIGENOUS', 'CLOSED']",77,Global Greengrants Fund,greengrants.org,https://www.greengrants.org/apply-for-a-grant/,"Global Greengrants Fund provides small grants ($500–$5,000) for grassroots environmental and climate justice movements worldwide. Focus areas: indigenous rights, biodiversity, water justice, climate action, community-led conservation, and environmental health. Rolling applications with priority to underrepresented groups.",,unknown,,,,USD,,GLOBAL,,"['grassroots', 'environment', 'indigenous', 'climate justice', 'small grants']",en,82,closed,2026-07-01T00:55:52.053454+00:00
0a48a120ced3,49º Edital – Fundo Ecos – Organizações da Amazônia Legal,climate_justice,"['climate_justice', 'conservation', 'indigenous_rights']","['EG_CORE', 'SOON', 'CLIMATE', 'INDIGENOUS', 'OPEN']",62,,capta.org.br,https://capta.org.br/oportunidades/49o-edital-fundo-ecos-organizacoes-da-amazonia-legal/,"Instituto Sociedade População e Natureza O 49º Edital (3º/2026) para apoio a organizações na Amazônia Legal, lançado pelo Instituto Sociedade População e Natureza (ISPN), através do Fundo Ecos, tem como objetivo apoiar iniciativas lideradas por povos indígenas, quilombolas, comunidades locais e tradicionais da Amazônia Legal brasileira, contribuindo para o fortalecimento da governança territorial, da sociobioeconomia e da justiça climática. O edital contempla propostas voltadas ao fortalecimento da incidência política e da participação social em espaços de governança relacionados à alimentação",2026-08-31,soon,60,,,,,BR,,[],pt,42,pending,2026-07-01T00:55:56.072812+00:00
4718317e33b7,Territórios Vivos da Amazônia: apoio a soluções comunitárias,conservation,"['conservation', 'indigenous_rights']","['EG_CORE', 'EXPIRED', 'INDIGENOUS', 'OPEN']",57,,capta.org.br,https://capta.org.br/oportunidades/territorios-vivos-da-amazonia-apoio-a-solucoes-comunitarias/,"Fundo Casa Socioambiental O edital Territórios Vivos da Amazônia: apoio a soluções comunitárias, lançado pelo Fundo Casa Socioambiental, tem como objetivo fortalecer povos indígenas, quilombolas e comunidades locais na defesa de seus direitos territoriais, na promoção da autodeterminação e no enfrentamento das ilegalidades em seus territórios. As propostas podem abranger ações de fortalecimento institucional, fortalecimento das ações para a governança e proteção territorial, reconhecimento e defesa dos direitos territoriais, além de iniciativas voltadas à proteção e segurança dos territórios.",2026-06-16,expired,-16,,,,,BR,,[],pt,42,pending,2026-07-01T00:55:56.085105+00:00
b22e001e9022,Apresentação,conservation,"['conservation', 'indigenous_rights']","['EG_CORE', 'INDIGENOUS', 'OPEN']",51,,capta.org.br,https://capta.org.br/tema/apresentacao/,"Este site apresenta um passo a passo para a elaboração de pequenos projetos socioambientais. Ele é voltado, principalmente, a organizações de base comunitária, formadas por agricultores familiares e povos e comunidades tradicionais, que buscam melhorar a qualidade de vida das pessoas por meio da conservação e do uso sustentável da biodiversidade. Estamos falando em ações feitas pela comunidade e para a comunidade . Ou seja, projetos em que as bases estão envolvidas em todas as etapas, desde a concepção e planejamento, ao envio da proposta aos financiadores. O Capta é uma iniciativa do Institut",,unknown,,,,,,BR,,[],pt,36,pending,2026-07-01T00:55:56.130945+00:00
c2137ee399f8,"Edital Fomento à educação, proteção e bem-estar animal",general,['general'],"['EG_CORE', 'SOON', 'OPEN']",38,,capta.org.br,https://capta.org.br/oportunidades/edital-fomento-a-educacao-protecao-e-bem-estar-animal/,"Programa Nosso Chão, Nossa História O Edital Meio Ambiente apoia iniciativas voltadas à educação ambiental, proteção e bem-estar animal em áreas afetadas pelo desastre socioambiental de Maceió. Além disso, a iniciativa busca reparar danos extrapatrimoniais, fortalecer os vínculos comunitários e promover a convivência entre pessoas, animais e território. Nesse sentido, o edital incentiva projetos de educação ambiental, proteção da fauna, atendimento veterinário, castração, vacinação, adoção responsável e fortalecimento de redes comunitárias de cuidado animal. Além disso, as propostas devem inco",2026-08-14,soon,43,,,,,BR,,[],pt,18,pending,2026-07-01T00:55:56.069765+00:00
e9b79659feb2,"HCLTech Grant — Water, Biodiversity & Environment (Reference)",climate_justice,"['climate_justice', 'conservation']","['HIGH_VALUE', 'CLIMATE', 'CLOSED']",34,HCLFoundation,asia:hcl,https://www.hclfoundation.org/hcltech-grant,"HCLFoundation offers annual grants up to ₹5 Crore for Indian NGOs working on water, biodiversity, and climate resilience. Reference entry — check website for current open call dates and application guidelines.",,unknown,,50000000,,INR,602409.64,IN,,"['water', 'biodiversity', 'environment', 'climate', 'community']",en,44,closed,2026-07-01T00:55:58.921725+00:00
0eb4542fef08,Apoio Emergencial: Defensores de Direitos Humanos,human_rights,['human_rights'],['OPEN'],32,,capta.org.br,https://capta.org.br/oportunidades/apoio-emergencial-defensores-de-direitos-humanos/,"Fundo Brasil de Direitos Humanos O edital Apoio Emergencial: Defensores de Direitos Humanos , lançado pelo Fundo Brasil de Direitos Humanos, tem como objetivo promover medidas de proteção para indivíduos, seus familiares e círculo próximo, além de apoiar organizações e coletivos em situações emergenciais. As propostas devem abordar temas como o aperfeiçoamento de medidas de segurança individual ou coletiva, a retirada emergencial de defensores de seus locais de atuação e o fortalecimento de redes de solidariedade. Não há valores máximos especificados, e o edital possui abrangência nacional. As",,unknown,,,,,,BR,,[],pt,32,pending,2026-07-01T00:55:56.098919+00:00
94bf20b79b80,Keidanren Nature Conservation Fund (KNCF) — Grant Program (Reference),conservation,['conservation'],"['HIGH_VALUE', 'CLOSED']",32,Keidanren Nature Conservation Fund / Nippon Keidanren,asia:kncf,https://www.keidanren.net/kncf/en/fund/program,KNCF offers annual biodiversity conservation grants up to ¥20 million/year for Asia-Pacific NGOs and research institutions. Reference entry — check the website for current open call dates and application guidelines.,,unknown,,20000000,,JPY,133333.33,ASIA,,"['biodiversity', 'conservation', 'nature', 'asia', 'oceania']",en,42,closed,2026-07-01T00:55:58.921264+00:00
3942cd276eca,Chamada – Zayed Sustainability Prize 2027,general,['general'],"['URGENT', 'OPEN']",28,,capta.org.br,https://capta.org.br/oportunidades/chamada-zayed-sustainability-prize-2027/,"O Zayed Sustainability Prize, afiliado à Erth Zayed Philanthropies, abriu as inscrições para o ciclo de 2027 com um fundo ampliado de US$ 7,2 milhões. O prêmio reconhece pequenas e médias empresas, organizações sem fins lucrativos e escolas de ensino médio que desenvolvem soluções sustentáveis e inovadoras. O prêmio já impactou mais de 400 milhões de pessoas ao longo de 18 edições, ampliando o acesso a energia limpa, água, alimentos, saúde e fortalecendo a resiliência climática. As inscrições estão abertas para seis categorias: Saúde, Alimentação, Energia, Água, Ação Climática e Escolas de Ens",2026-07-15,urgent,13,,,,,BR,,[],pt,18,pending,2026-07-01T00:55:56.087438+00:00
c364d1d9740f,National Geographic Society,conservation,['conservation'],['OPEN'],28,,capta.org.br,https://capta.org.br/oportunidades/national-geographic-society/,"National Geographic Society A National Geographic Society financia projetos ao redor do mundo que contribuem significativamente para a conservação e sustentabilidade dos recursos biológicos, culturais e históricos do planeta Terra. As entidades ou indivíduos proponentes devem ter alguma experiência prévia com pesquisa e/ou ações de conservação. Os financiamentos variam, geralmente, entre US$ 15 mil e US$ 20 mil. As inscrições devem ser feitas somente em inglês, através de um formulário online. Região: todo o Brasil Inscrições: contínuas Edital: Conservation Trust Grants",,unknown,,,,,,BR,,[],pt,28,pending,2026-07-01T00:55:56.120000+00:00
